fecha;PPGY_OB;TURR_OB;PPGY_GPC;TURR_GP;JACO_TT;TURR_TT;ensinx
1/8/2019;0;0;0;1.9;5.47;0;0.3
2/8/2019;0;3.8;0.6;6.7;4.84;0;
3/8/2019;0;0.2;1.2;7.3;1.32;3.2;
4/8/2019;0;0;1;4.8;1.12;0.4;
5/8/2019;0;0;3.7;3.4;0;0;
6/8/2019;0;46.2;0.6;8.2;16.07;9.8;
7/8/2019;1.4;33;8.2;13;27.82;5.1;
8/8/2019;0.2;2.4;5.3;5.8;0.47;1.5;
9/8/2019;0;0;3;1.3;0;0;
10/8/2019;1.8;33.8;3.2;2.9;3.42;2.9;
11/8/2019;1.6;0;13.5;2.4;9.86;0;
12/8/2019;0.2;49;1.1;15.5;19.77;11.7;
13/8/2019;0;16.6;0.5;7.6;11.47;2.8;
14/8/2019;0;44;3.9;35.2;2.84;14.7;
15/8/2019;12;0;4.8;6.8;7.96;2.5;
16/8/2019;5;1.4;11.9;3.6;6.07;3.3;
17/8/2019;1.4;21;11.5;8.2;0;5.3;
18/8/2019;39.6;1.2;18.5;17.2;0;2.8;
19/8/2019;28.6;11;8.5;25.8;18.95;11.1;
20/8/2019;5.2;2.2;10.8;3.9;1.88;0.8;
21/8/2019;0.4;0.2;2.4;12.3;7.03;1.4;
22/8/2019;0;0;0;1;0;1.8;
23/8/2019;0;0;0.2;1.6;0;0;
24/8/2019;0;0;0;0.5;0;0;
25/8/2019;0;3.6;0.3;14.5;4.62;9.6;
26/8/2019;0;0.6;1.1;5;0;0.3;
27/8/2019;0;0;1;1.7;0;0.2;
28/8/2019;0;2.4;0.4;5.8;9.33;0.4;
29/8/2019;0;15.2;0.3;14.5;18.85;5.8;
30/8/2019;2;1;0.7;9.6;4.15;0;
31/8/2019;0;0;1;11.5;0.7;0;
1/9/2019;0;1.4;2.8;2.5;3.86;0;0.2
2/9/2019;0;0.2;0.9;9.2;0;0;
3/9/2019;10.2;0;3.6;1.9;3.77;0;
4/9/2019;0.2;7.8;0.7;6.8;7.11;0.6;
5/9/2019;6;3;3.4;3.5;0.85;2.2;
6/9/2019;13.2;9.2;1.5;4.3;0;0.4;
7/9/2019;0;10.6;2.2;5.3;0;7;
8/9/2019;13.2;0;0.7;3.2;8.63;0;
9/9/2019;0;0;8;1.3;2.85;0.5;
10/9/2019;0;7.4;0.7;3.5;0;0.8;
11/9/2019;2.4;0;4.9;1.4;21.04;0;
12/9/2019;0;57;0.8;21.2;5.59;10.1;
13/9/2019;0;0.2;0.6;5.1;11.49;2.3;
14/9/2019;10.2;0;2.6;3.8;4.35;0;
15/9/2019;11.2;15.4;31.1;14.9;21.7;7.2;
16/9/2019;17.8;0;5.4;2.8;3.93;0;
17/9/2019;0;21.6;4.8;3.9;2.53;0;
18/9/2019;0;0.2;0.2;1.9;0;0;
19/9/2019;0.6;0;4.5;6.2;6.09;1.7;
20/9/2019;0.2;0;2.6;6.7;0;0.5;
21/9/2019;21.6;4.2;5;6.6;7.36;0.6;
22/9/2019;2.4;0.2;11.2;13.7;1.17;0;
23/9/2019;0.2;1;4.3;14.5;6.11;3;
24/9/2019;4.6;9;6.3;18;1.7;5.3;
25/9/2019;58.6;8.4;45.1;17.9;11.6;3;
26/9/2019;36.8;0;10.3;10.1;0;1.1;
27/9/2019;6.4;9.2;19.9;8.4;0.84;4.1;
28/9/2019;23.2;29.6;12.6;31.9;5.98;11;
29/9/2019;0;0.2;10.2;3.1;0;0;
30/9/2019;0;0;0;8.1;1.56;0.4;
